detector_1,detector_2,lag,correlation,p_value,n_obs,q_value,significant,distance_km
D_MOSCOW,D_MURMANSK,72,0.1306678764698831,0.0008556227503644,720,0.0009390981406439,True,1485.6118464285294
D_MOSCOW,D_NOVOSIBIRSK,37,-0.1549336742929874,4.77778157352853e-05,720,9.347833513425386e-05,True,2812.5557074188837
D_MOSCOW,D_SOCHI,-67,-0.133483958723483,0.0006266462624318,720,0.0007049770452357,True,1361.5691713816782
D_MOSCOW,D_SPB,0,0.2723910218448209,1.0268368891888997e-13,720,2.310383000675024e-12,True,631.7399503870953
D_MOSCOW,D_Vladivostok,23,0.1401396048983767,0.0002060499080033,720,0.0002897576831297,True,6415.375760237898
D_MURMANSK,D_NOVOSIBIRSK,-21,0.1816540206844817,1.3357414941848736e-06,720,6.010836723831931e-06,True,2911.8163992474947
D_MURMANSK,D_SOCHI,43,-0.2145659386902085,1.717181752959345e-08,720,1.287886314719509e-07,True,2847.1784428642727
D_MURMANSK,D_SPB,0,0.2285265467976082,5.517522744404713e-10,720,6.207213087455304e-09,True,1012.0081001257417
D_MURMANSK,D_Vladivostok,11,-0.1540073555530789,3.8197725661979576e-05,720,8.365484482803561e-05,True,5924.5534136877295
D_NOVOSIBIRSK,D_SOCHI,-20,-0.1510014510233694,6.046116114685859e-05,720,0.0001133646771503,True,3316.3919235466433
D_NOVOSIBIRSK,D_SPB,35,-0.1564700892705471,3.903892758641662e-05,720,8.365484482803561e-05,True,3104.5799084070927
D_NOVOSIBIRSK,D_Vladivostok,56,-0.1462968602884302,0.0001549021377336,720,0.0002323532066005,True,3714.4981556413636
D_SOCHI,D_SPB,29,-0.1447982879727833,0.0001336949294978,720,0.0002074576492208,True,1923.9611429603788
D_SOCHI,D_Vladivostok,68,0.1169783190328654,0.0027760767080097,720,0.0029051965548939,True,7025.344747363318
D_SPB,D_Vladivostok,41,-0.1559636955776745,4.473478002255298e-05,720,9.150295913704018e-05,True,6534.92712790806
